eddy_rms_first
1.8448575
1.3099824
2.9547917
10.222563
3.1140631
1.3074131
1.8569119
2.4179034
3.0297647
1.9195974
1.3299881
3.6558425
1.3558615
3.3779994
2.7353122
1.1979946
1.2366576
2.1697593
1.90582
5.7440334
1.7669561
1.9680037
1.8933428
2.2878566
1.6629364
2.3329399
1.7827325
1.0941609
1.7075959
3.1162398
2.4404575
1.3813163
1.9618522
1.0222844
2.4096658
1.4270507
1.7369472
1.9782686
2.9082045
4.9904141
9.0875263
5.7229955
4.3245838
3.4829957
1.2388922
1.3986737
2.5301348
2.7720497
3.7498382
3.745037
1.2078774
3.6371512
1.1801855
1.5624041
2.6531553
4.1824337
1.5400097
4.9081197
4.9430819
2.6544384
3.4468731
1.4984873
2.5052813
4.9729506
1.1001225
3.3342187
2.6467899
1.8606709
3.4492782
1.809976
1.0460403
4.5082557
3.1312787
1.5610152
5.3096048
1.7305069
1.1470257
1.3473077
1.7137709
2.1114394
6.3756107
1.2911499
2.318502
2.1312832
1.7485036
7.7026404
3.3350428
3.3780766
1.7051177
1.7648794
2.0873832
1.8023122
1.7294033
1.4009008
2.76117
4.7639941
1.9993303
1.6610858
3.9060334
1.0950426
