volume_m1_left
14603.386
17346.863
17288.034
13914.148
12859.327
17027.016
11494.185
14426.181
14095.577
14302.626
14067.08
16805.801
12791.299
12375.967
12258.993
14169.874
17700.134
17031.79
13229.689
17530.638
15528.021
13359.116
17246.727
14019.328
15468.479
14791.141
15648.511
18282.997
12966.69
14897.397
12252.2
12392.393
13108.932
15258.588
14061.879
15363.372
17077.891
19010.769
13056.696
14024.85
14511.208
13411.15
15681.185
13473.29
14739.611
13373.231
14228.499
12427.971
13675.325
13419.544
16989.321
10421.803
17623.693
16434.51
13307.822
17980.494
17561.9
13699.319
17470.729
13955.87
13542.57
16928.941
15234.428
16293.682
15114.899
12568.325
16623.643
15300.955
14008.165
17005.232
12733.688
15482.793
12967.435
13852.226
14059.799
17257.303
19343.258
16224.525
14812.617
12275.361
19804.021
14560.36
16826.791
12380.021
15712.554
12822.364
14235.149
15495.863
15594.549
15069.284
16250.55
14388.35
13284.86
15116.682
16063.226
13070.127
15782.33
14431.682
17593.11
13306.308
