volume_m1_right
15178.743
18168.507
16247.674
15599.192
14410.359
18346.16
12394.118
16448.124
16255.013
13912.493
15139.159
18261.475
13817.947
14112.66
13234.838
14357.249
18638.601
17465.699
14239.054
18933.259
14581.817
15100.679
16703.599
15090.921
16190.139
14184.54
14721.305
17473.648
12983.498
15565.583
14885.573
12422.595
12095.064
17572.45
16162.266
15894.769
17307.514
20011.004
14747.309
14446.589
15994.488
14054.25
16924.188
12692.353
17503.694
15068.051
15254.665
13711.099
14926.739
14318.453
18518.888
12121.67
16375
14482.066
15483.806
19909.214
19022.739
13731.821
20700.647
14131.89
13780.569
18748.138
17199.263
17517.336
16276.176
12951.778
18024.653
15664.096
13543.495
18805.078
14246.625
16840.212
14211.797
14507.573
14625.88
17602.599
20010.755
16747.378
14514.683
12652.981
17046.749
15922.655
19462.07
12063.785
16170.953
11664.623
15060.99
15613.207
16906.549
15320.521
15330.931
14498.968
13711.254
16037.342
16013.246
16937.898
16492.391
14929.722
17252.285
14767.081
